name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;315;0;550;3129;1124;3129;1124;0
header;283;142;283;175;1911;175;1911;142
A;1023;212;1023;224;1030;224;1030;212
A;971;395;971;407;978;407;978;395
A;386;621;386;633;394;633;394;621
A;770;897;770;908;777;908;777;897
A;785;1126;785;1137;792;1137;792;1126
A;468;1352;468;1364;475;1364;475;1352
A;826;1447;826;1459;833;1459;833;1447
B;1021;1585;1021;1597;1028;1597;1028;1585
A;940;1814;940;1827;947;1827;947;1814
A;892;1900;892;1904;927;1904;927;1900
A;568;2014;568;2014;570;2014;570;2014
B;678;2486;678;2504;693;2504;693;2486
A;727;2620;727;2645;748;2645;748;2620
A;1061;2727;1061;2731;1069;2731;1069;2727
A;554;2730;554;2742;561;2742;561;2730
A;597;2867;597;2882;604;2882;604;2867
